chembl_id,smiles,pIC50
CHEMBL3752916,FC(F)(F)c1cc(NC(=O)Nc2sccn2)cc(-c2ncn(C)c2)c1,6.507575
CHEMBL93784,Brc1cc(Nc2ncnc3c2cc(NC(=O)C#CCN2C(COC)CCC2)cc3)ccc1,7.1870866
CHEMBL2047247,Clc1ccc(Nc2nc(N)nc3c2-c2c(cccc2)C3)cc1,4.5850267
CHEMBL592153,O=C(NCCCCCCCCCCCCCCCCCCCC)COc1cc([O-])c2C(=O)C=C(c3ccccc3)Oc2c1,5.8696661
CHEMBL1947122,Clc1cc(Nc2c(C(=O)[O-])c[nH+]c3c2cc(OC)c(OC)c3)ccc1,5.0447454
CHEMBL2283257,Brc1c(NC(=O)/C=C/c2ccccc2)cccc1,4.8029952
CHEMBL53637,Clc1cc(Nc2ncnc3c2cc(NC(=O)C=C)cc3)ccc1,8.7958803
CHEMBL1257911,Clc1c(C2=Nc3c(n[nH]c3)Nc3c2cc(N)cc3)cccc1,6.0048037
CHEMBL1614725,Clc1c(Oc2cc(C(F)(F)F)ccc2)ccc(Nc2ncnc3c2n(CCNC(=O)CC(O)(C)C)cc3)c1,9
CHEMBL21108,O=C1NC(=O)c2c3c([nH]c4c(O)cccc34)c3n(C4C(O)C(O)C(O)C(CO)O4)c4c(O)cccc4c3c12,4.0457573
CHEMBL3335245,BrC=1C(=CNc2cc3NC(=O)Nc3cc2)C(=O)C(OCC)=CC=1Br,4.1152048
CHEMBL1821893,O(C)c1ccc(C2=NN(c3scc(-c4ccccc4)n3)C(c3ccc(C)cc3)C2)cc1,5.1260986
CHEMBL4065503,Clc1cc(Nc2ncnc3c2cc(NC(=S)Nc2sc(C)nn2)cc3)ccc1,6.9208188
CHEMBL294681,[SH0](=O)(C)c1ccc(C=C(C#N)C#N)cc1,2.7447276
CHEMBL483232,S(Cc1c([O-])c(OCC)cc(/C=C(\C#N)/C(=O)N)c1)c1cc(OC)ccc1,5.3979402
CHEMBL2385986,Clc1c(OCc2ncccc2)ccc(NC(=O)c2cc(NC(=O)/C=C/C[NH+](C)C)c(OCC)cc2)c1,5.9208188
CHEMBL3436359,Clc1c(OCc2cc(F)ccc2)ccc(Nc2ncnc3c2cc(-c2oc(CN4CCN(C(=O)C)CC4)cc2)cc3)c1,7.9430952
CHEMBL1095131,Clc1c(Cc2[nH]c3nc(N)nc(Nc4cc(F)ccc4)c3c2)ccc(Cl)c1,3.7915587
CHEMBL205149,Clc1c(F)ccc(Nc2ncnc3c2c(OC2CC[NH2+]CC2)cc(OC)c3)c1,8
CHEMBL2425737,Brc1cc(Nc2ncnc3c2cc(NC(=O)CCOc2ccccc2)cc3)ccc1,7.7212462
CHEMBL263666,[Se]([Se]c1n(C)c2c(c1C(=O)NCC[NH+](CC)CC)cccc2)c1n(C)c2c(c1C(=O)NCC[NH+](CC)CC)cccc2,5.3279023
CHEMBL3740910,FC(F)(F)c1cc(Nc2ncnc3c2cc(NC(=O)Nc2ccc(C[NH+]4CCCC4)cc2)cc3)ccc1,8.3872166
CHEMBL57300,Oc1c(O)ccc2C(=C(C#N)C#N)CCc12,5.154902
CHEMBL598377,Clc1c(F)ccc(Nc2ncnc3c2cc(OCCCCCCC(=O)NO)c(OC)c3)c1,8.5086384
CHEMBL2348194,N([C@H](C)c1ccccc1)c1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1,5.5241838
CHEMBL3092309,Clc1c(F)ccc(Nc2ncnc3c2cc(NC(=O)NCC[NH+]2CCCCC2)c(O[C@@H]2COCC2)c3)c1,6.782516
CHEMBL2029697,Clc1c(Cn2nc(NC(=O)c3c(C)nn(C)c3)cc2)c(F)ccc1,4.1402617
CHEMBL1080812,Clc1c(OCc2ncccc2)ccc(Nc2nncc3[nH]c(C(=O)NCCN4CCOCC4)c(C)c23)c1,6.0619807
CHEMBL1088348,O=C(Nc1ccc(C)cc1)C1=C(C)NC(=[NH+]Cc2ccccc2)NC1c1c(O)cc(O)cc1,4.628932
CHEMBL3671572,Brc1cc(F)c(Nc2ncnc3c2cc(NC(=O)C=C)c(OCCNC(=O)CN2CCOCC2)c3)cc1,7.4948502
CHEMBL2312304,Clc1c(CNc2nc(NC3CCCC3)c(C(=O)NCCCN3C(=O)OCC3)cn2)cc(Cl)cc1,5.3882766
CHEMBL78184,Fc1ccc(/C=C(/C(=O)[O-])\C#N)cc1,3.079355
CHEMBL283682,Brc1cc(Nc2c(C#N)cnc3c2cc(NC(=O)C#CC)cc3)ccc1,6.5868678
CHEMBL3628907,Brc1cc(NC(=O)Nc2c(Cl)cc(Oc3ncnc4sc5c(c34)CCCC5)cc2)ccc1,5.8996296
